X,y
33.44,10.5
33.44,10.46
33.437,10.46
33.42,10.45
33.421,10.45
33.431,10.45
33.44,10.45
33.424,10.24
33.42,10.06
33.494,9.86
33.51,9.83
33.58,9.67
33.64,9.5
33.689,9.32
33.847,8.76
33.86,8.71
33.876,8.53
33.876,8.45
33.926,8.26
33.98,7.96
33.99,7.77
34.04,6.8
34.056,6.55
34.113,5.78
34.16,5.3
34.161,5.29
34.21,5.01
34.261,4.72
34.31,4.44
32.95,10.1
32.94,9.89
32.939,9.75
32.95,9.69
33.013,9.52
33.24,9.06
33.272,9.04
33.46,8.92
33.488,8.83
33.6,8.37
33.631,8.26
33.745,7.85
33.8,7.64
33.833,7.5
33.93,6.98
33.939,6.85
33.943,6.32
33.95,6.05
33.957,5.95
34,5.6
34.016,5.5
